TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1584964, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 476676, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 414445, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 863855, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 970995, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 772433, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 835306, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 422465, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 865139, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 365687, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 297681, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 313080, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 531850, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 446844, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 480846, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1333474, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 739072, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1014300, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 1155122, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, CREATE, 915501, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 464487, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 406426, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 1287282, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 533775, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 827286, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, DELETE, 3437136, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, UPDATE_STATUS, 438825, true, No Error, 
6f400feb-03ae-49b9-9e00-510e20347a06, MariaDB, READ, 417653, true, No Error, 
