TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 3562561, true, No Error, 286995817900116, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1153197, true, No Error, 286995821222735, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 887913, true, No Error, 286995822917405, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1078776, true, No Error, 286995826062312, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1263224, true, No Error, 286995828787642, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 958484, true, No Error, 286995831025710, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1221522, true, No Error, 286995834576401, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1369081, true, No Error, 286995838074806, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1621853, true, No Error, 286995841912914, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 973882, true, No Error, 286995843746481, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 800021, true, No Error, 286995846006683, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 661765, true, No Error, 286995847415539, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 547889, true, No Error, 286995848456785, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 2170383, true, No Error, 286995853046155, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1018791, true, No Error, 286995855190877, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 617819, true, No Error, 286995856337979, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 868346, true, No Error, 286995858610691, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 772754, true, No Error, 286995861464973, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1152555, true, No Error, 286995863939134, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1349192, true, No Error, 286995867024697, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 838514, true, No Error, 286995869613055, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 917746, true, No Error, 286995872479847, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1313907, true, No Error, 286995875378076, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 860006, true, No Error, 286995877570915, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1132347, true, No Error, 286995879963598, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1771336, true, No Error, 286995884225775, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 2324036, true, No Error, 286995889392866, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1446709, true, No Error, 286995892957672, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1265469, true, No Error, 286995895074486, 
OneThousandCreateEventsMariaDB, MariaDB, CREATE, 1250714, true, No Error, 286995898540813, 
