TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 40390438, true, No error, 286999830119512, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 37782834, true, No error, 286999870506742, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 12891426, true, No error, 286999884548156, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 35137057, true, No error, 286999921996098, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 23790178, true, No error, 286999947153111, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 18129088, true, No error, 286999966790497, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 75054027, true, No error, 287000045045247, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 51590081, true, No error, 287000099121357, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 49543196, true, No error, 287000151512099, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 15974743, true, No error, 287000168638756, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 34563185, true, No error, 287000205040961, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 14325303, true, No error, 287000220467495, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 10192078, true, No error, 287000231525995, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 55853541, true, No error, 287000290049050, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 21821884, true, No error, 287000313621099, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 11624994, true, No error, 287000326018847, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 34561260, true, No error, 287000362530437, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 61231704, true, No error, 287000426075913, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 33332040, true, No error, 287000460931006, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 58982729, true, No error, 287000522021568, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 41002483, true, No error, 287000564926264, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 50116427, true, No error, 287000617446280, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 34923419, true, No error, 287000654318746, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 24876011, true, No error, 287000680824951, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 29172832, true, No error, 287000711830708, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 61005234, true, No error, 287000775457020, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 76601139, true, No error, 287000864570104, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 41370094, true, No error, 287000908324862, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 12361180, true, No error, 287000921700982, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 53795108, true, No error, 287000978000084, 
TenThousandCreateEventsCassandra, Cassandra, CREATE, 67091035, true, No error, 287001047443062, 
