TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 3037768, true, No Error, 287175634220722, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1496750, true, No Error, 287175638222428, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 910047, true, No Error, 287175640055995, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1232108, true, No Error, 287175643097291, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1171802, true, No Error, 287175645570489, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1731881, true, No Error, 287175648423809, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1324171, true, No Error, 287175652735065, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1124006, true, No Error, 287175665298655, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1194577, true, No Error, 287175668608763, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 2348095, true, No Error, 287175671927532, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1063379, true, No Error, 287175674737226, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1034830, true, No Error, 287175676681782, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 903311, true, No Error, 287175678145492, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1048623, true, No Error, 287175681150540, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1050869, true, No Error, 287175683228540, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1219919, true, No Error, 287175685171492, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1191049, true, No Error, 287175688271811, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1217994, true, No Error, 287175691830522, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1098023, true, No Error, 287175694480790, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1158330, true, No Error, 287175697353998, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1183671, true, No Error, 287175700355839, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1283432, true, No Error, 287175703811900, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 961693, true, No Error, 287175706405711, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1439331, true, No Error, 287175709090623, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 868346, true, No Error, 287175711368146, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1046057, true, No Error, 287175714718352, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1367797, true, No Error, 287175718429432, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1100910, true, No Error, 287175721571773, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1104118, true, No Error, 287175723331240, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 2006145, true, No Error, 287175727538243, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1132346, true, No Error, 287175730816915, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1184633, true, No Error, 287175733289472, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1339569, true, No Error, 287175736873845, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1386403, true, No Error, 287175740579472, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1104118, true, No Error, 287175742708155, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1180143, true, No Error, 287175746259488, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1512147, true, No Error, 287175749717795, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1090003, true, No Error, 287175752322833, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 999223, true, No Error, 287175754864357, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 908122, true, No Error, 287175757302590, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 802266, true, No Error, 287175759098947, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1102193, true, No Error, 287175762456209, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 915821, true, No Error, 287175764581684, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 746451, true, No Error, 287175766767465, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 671067, true, No Error, 287175768730947, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 1346946, true, No Error, 287175772204010, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 684861, true, No Error, 287175774587391, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 686786, true, No Error, 287175776092481, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 690956, true, No Error, 287175777955880, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 710523, true, No Error, 287175780355941, 
TenThousandCreateEventsMariaDB, MariaDB, CREATE, 663048, true, No Error, 287175781839539, 
