TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,37659334, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,21769276, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,25429995, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,5199811, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,20605494, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,23462664, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,15566072, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,5774324, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6948051, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,22621263, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,8338303, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,4523932, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,16639716, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,8062113, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, DELETE,6447637, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,9565279, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,19180598, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,5188904, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,17374297, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, DELETE,5304064, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,5761814, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,5238946, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,6045061, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,17867975, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6211224, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,21344887, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,21373116, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6814287, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,7883439, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,6267681, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, CREATE,13051173, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE,22171532, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,10394169, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6486772, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6483243, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6025493, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,9408739, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, READ,6986545, true, No error,3.58516E+14, 
TenThousandRandomEventsCassandra, Cassandra, UPDATE_STATUS,6370009, true, No error,3.58516E+14, 
