TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 69025967, true, No error, 286961679248327, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 126213302, true, No error, 286961826049481, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 21503994, true, No error, 286961858557763, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 56076481, true, No error, 286961918062077, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 30659638, true, No error, 286961951950346, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 39855380, true, No error, 286961994537792, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 67041314, true, No error, 286962066217876, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 103225390, true, No error, 286962175215667, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 146338912, true, No error, 286962328434625, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 47123247, true, No error, 286962377216936, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 109353854, true, No error, 286962493233990, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 25098310, true, No error, 286962519744044, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 21154987, true, No error, 286962544396153, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 81102296, true, No error, 286962628984022, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 25937145, true, No error, 286962656702126, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 17389054, true, No error, 286962678545823, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 55993721, true, No error, 286962737540742, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 80620808, true, No error, 286962821949618, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 37209283, true, No error, 286962861297848, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 66765445, true, No error, 286962931510052, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 55203645, true, No error, 286962990467120, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 66004239, true, No error, 286963060001199, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 60548768, true, No error, 286963123404891, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 34485878, true, No error, 286963160142309, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 47096622, true, No error, 286963209547892, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 70903160, true, No error, 286963284162453, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 62152978, true, No error, 286963350549701, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 42402678, true, No error, 286963395951653, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 10794499, true, No error, 286963408040813, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 62881786, true, No error, 286963474456289, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 60750217, true, No error, 286963538404020, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 26537641, true, No error, 286963566724866, 
fiveHundredCreateEventsCassandra, Cassandra, CREATE, 80239403, true, No error, 286963649810853, 
