TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, 
fiveHundredRandomEventsMariaDB, MariaDB, CREATE, 2025712, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 598571, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 597609, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 1878796, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1299792, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1003073, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1020715, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 345157, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1389290, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 533453, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 681012, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 421823, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 1031301, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 867705, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 538586, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, CREATE, 1908308, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1541018, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1970540, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, CREATE, 1507015, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, CREATE, 1498354, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 3524709, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 1671254, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 2674647, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 795529, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 2115530, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 1497713, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 542757, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 737147, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, CREATE, 1412065, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 6399521, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, DELETE, 5252098, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, UPDATE_STATUS, 442032, true, No Error, 
fiveHundredRandomEventsMariaDB, MariaDB, READ, 987354, true, No Error, 
