TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
ten, Maria, CREATE, 431985, true, No Error, 715973682602110, 
ten, Cassandra, CREATE, 4378629, true, No Error, 715973687434805, 
ten, Maria, CREATE, 1318347, true, No Error, 715973694488693, 
ten, Maria, CREATE, 2499230, true, No Error, 715973701716121, 
ten, Cassandra, CREATE, 6892165, true, No Error, 715973701796671, 
ten, Maria, CREATE, 2036767, true, No Error, 715973709401347, 
ten, Cassandra, CREATE, 8092020, true, No Error, 715973710251322, 
ten, Cassandra, CREATE, 2342173, true, No Error, 715973712218424, 
ten, Maria, CREATE, 923372, true, No Error, 715973713740479, 
ten, Maria, CREATE, 358277, true, No Error, 715973716571240, 
ten, Cassandra, CREATE, 2986885, true, No Error, 715973717081909, 
ten, Maria, CREATE, 2620522, true, No Error, 715973725284957, 
ten, Maria, CREATE, 4072289, true, No Error, 715973734853625, 
ten, Cassandra, CREATE, 9769577, true, No Error, 715973735455108, 
ten, Cassandra, CREATE, 25655985, true, No Error, 715973742585813, 
ten, Cassandra, CREATE, 8153599, true, No Error, 715973743409664, 
ten, Maria, CREATE, 1119926, true, No Error, 715973750403217, 
ten, Maria, CREATE, 456555, true, No Error, 715973752964337, 
ten, Cassandra, CREATE, 2654421, true, No Error, 715973753604073, 
ten, Cassandra, CREATE, 1739136, true, No Error, 715973755106534, 
