TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
timingTestCassandra, Cassandra, CREATE, 16031958, true, No error, 287775825444191, 
timingTestCassandra, Cassandra, CREATE, 14763372, true, No error, 287775841856819, 
timingTestCassandra, Cassandra, CREATE, 11622541, true, No error, 287775854432277, 
timingTestCassandra, Cassandra, CREATE, 11817229, true, No error, 287775867975579, 
timingTestCassandra, Cassandra, CREATE, 9340080, true, No error, 287775878326734, 
timingTestCassandra, Cassandra, CREATE, 6844582, true, No error, 287775886057678, 
timingTestCassandra, Cassandra, CREATE, 24779576, true, No error, 287775913016150, 
timingTestCassandra, Cassandra, CREATE, 24464218, true, No error, 287775939402685, 
timingTestCassandra, Cassandra, CREATE, 24943786, true, No error, 287775966206276, 
timingTestCassandra, Cassandra, CREATE, 15481792, true, No error, 287775982521560, 
timingTestCassandra, Cassandra, CREATE, 17418105, true, No error, 287776001332653, 
timingTestCassandra, Cassandra, CREATE, 12501127, true, No error, 287776014513325, 
timingTestCassandra, Cassandra, CREATE, 9276946, true, No error, 287776024472614, 
timingTestCassandra, Cassandra, CREATE, 15394089, true, No error, 287776041730241, 
timingTestCassandra, Cassandra, CREATE, 26696917, true, No error, 287776069410864, 
timingTestCassandra, Cassandra, CREATE, 7270969, true, No error, 287776077197478, 
timingTestCassandra, Cassandra, CREATE, 13284858, true, No error, 287776092005946, 
timingTestCassandra, Cassandra, CREATE, 19525470, true, No error, 287776113439427, 
timingTestCassandra, Cassandra, CREATE, 9522950, true, No error, 287776124122734, 
timingTestCassandra, Cassandra, CREATE, 13521844, true, No error, 287776139101633, 
timingTestCassandra, Cassandra, CREATE, 12915385, true, No error, 287776153819287, 
timingTestCassandra, Cassandra, CREATE, 11258354, true, No error, 287776166840103, 
timingTestCassandra, Cassandra, CREATE, 7679007, true, No error, 287776175872289, 
timingTestCassandra, Cassandra, CREATE, 7436112, true, No error, 287776184323208, 
timingTestCassandra, Cassandra, CREATE, 4796308, true, No error, 287776190297911, 
timingTestCassandra, Cassandra, CREATE, 11296608, true, No error, 287776203517458, 
timingTestCassandra, Cassandra, CREATE, 10210892, true, No error, 287776215814877, 
timingTestCassandra, Cassandra, CREATE, 10629504, true, No error, 287776227867537, 
timingTestCassandra, Cassandra, CREATE, 4911068, true, No error, 287776233306690, 
timingTestCassandra, Cassandra, CREATE, 11125245, true, No error, 287776246340257, 
timingTestCassandra, Cassandra, CREATE, 11243426, true, No error, 287776259338680, 
timingTestCassandra, Cassandra, CREATE, 6643673, true, No error, 287776266984098, 
timingTestCassandra, Cassandra, CREATE, 13290456, true, No error, 287776282295771, 
timingTestCassandra, Cassandra, CREATE, 12780409, true, No error, 287776296934741, 
timingTestCassandra, Cassandra, CREATE, 8788047, true, No error, 287776306751902, 
timingTestCassandra, Cassandra, CREATE, 10720317, true, No error, 287776319323938, 
timingTestCassandra, Cassandra, CREATE, 13482656, true, No error, 287776334420396, 
timingTestCassandra, Cassandra, CREATE, 11078283, true, No error, 287776346888557, 
timingTestCassandra, Cassandra, CREATE, 7228361, true, No error, 287776355332323, 
timingTestCassandra, Cassandra, CREATE, 9630559, true, No error, 287776366375774, 
timingTestCassandra, Cassandra, CREATE, 6013268, true, No error, 287776373330762, 
timingTestCassandra, Cassandra, CREATE, 9922591, true, No error, 287776384386652, 
timingTestCassandra, Cassandra, CREATE, 8832210, true, No error, 287776394272234, 
timingTestCassandra, Cassandra, CREATE, 12780098, true, No error, 287776408400847, 
timingTestCassandra, Cassandra, CREATE, 7883647, true, No error, 287776417514516, 
timingTestCassandra, Cassandra, CREATE, 11758450, true, No error, 287776431365713, 
timingTestCassandra, Cassandra, CREATE, 7978503, true, No error, 287776441025505, 
timingTestCassandra, Cassandra, CREATE, 8011470, true, No error, 287776449913385, 
timingTestCassandra, Cassandra, CREATE, 8241613, true, No error, 287776459380977, 
timingTestCassandra, Cassandra, CREATE, 13836269, true, No error, 287776474997745, 
timingTestCassandra, Cassandra, CREATE, 10009050, true, No error, 287776485892846, 
timingTestCassandra, Cassandra, CREATE, 8708431, true, No error, 287776495915270, 
timingTestCassandra, Cassandra, CREATE, 19695900, true, No error, 287776517472219, 
timingTestCassandra, Cassandra, CREATE, 13089858, true, No error, 287776533886402, 
timingTestCassandra, Cassandra, CREATE, 9331061, true, No error, 287776544402700, 
