TestID, DatabaseType, EventType, TimeTaken, Success, ErrorMessage, TimeStamp, 
timingTestMaria, MariaDB, CREATE, 5900995, true, No Error, 287837985486364, 
timingTestMaria, MariaDB, CREATE, 2285260, true, No Error, 287837989369252, 
timingTestMaria, MariaDB, CREATE, 1954973, true, No Error, 287837991886209, 
timingTestMaria, MariaDB, CREATE, 2752388, true, No Error, 287837996075126, 
timingTestMaria, MariaDB, CREATE, 2051695, true, No Error, 287837999066054, 
timingTestMaria, MariaDB, CREATE, 2040188, true, No Error, 287838001929470, 
timingTestMaria, MariaDB, CREATE, 2810857, true, No Error, 287838006663266, 
timingTestMaria, MariaDB, CREATE, 1553156, true, No Error, 287838009854170, 
timingTestMaria, MariaDB, CREATE, 2539039, true, No Error, 287838014035933, 
timingTestMaria, MariaDB, CREATE, 1799471, true, No Error, 287838016432532, 
timingTestMaria, MariaDB, CREATE, 3512482, true, No Error, 287838021048457, 
timingTestMaria, MariaDB, CREATE, 1714878, true, No Error, 287838023273382, 
timingTestMaria, MariaDB, CREATE, 2076576, true, No Error, 287838025746799, 
timingTestMaria, MariaDB, CREATE, 2233944, true, No Error, 287838029585524, 
timingTestMaria, MariaDB, CREATE, 1815953, true, No Error, 287838032088797, 
timingTestMaria, MariaDB, CREATE, 1462653, true, No Error, 287838033927455, 
timingTestMaria, MariaDB, CREATE, 1796361, true, No Error, 287838036930201, 
timingTestMaria, MariaDB, CREATE, 1993537, true, No Error, 287838040673759, 
timingTestMaria, MariaDB, CREATE, 1764016, true, No Error, 287838043467821, 
timingTestMaria, MariaDB, CREATE, 1342916, true, No Error, 287838045944970, 
timingTestMaria, MariaDB, CREATE, 2664996, true, No Error, 287838049904366, 
timingTestMaria, MariaDB, CREATE, 1716743, true, No Error, 287838053229934, 
timingTestMaria, MariaDB, CREATE, 1877533, true, No Error, 287838056251341, 
timingTestMaria, MariaDB, CREATE, 1782677, true, No Error, 287838058862222, 
timingTestMaria, MariaDB, CREATE, 1359400, true, No Error, 287838061223677, 
timingTestMaria, MariaDB, CREATE, 2161791, true, No Error, 287838065141087, 
timingTestMaria, MariaDB, CREATE, 2297078, true, No Error, 287838069167037, 
timingTestMaria, MariaDB, CREATE, 2247939, true, No Error, 287838073963345, 
timingTestMaria, MariaDB, CREATE, 1840212, true, No Error, 287838076170542, 
timingTestMaria, MariaDB, CREATE, 3630353, true, No Error, 287838081425581, 
timingTestMaria, MariaDB, CREATE, 2152460, true, No Error, 287838085247823, 
timingTestMaria, MariaDB, CREATE, 1991050, true, No Error, 287838088112795, 
timingTestMaria, MariaDB, CREATE, 1825595, true, No Error, 287838091651090, 
timingTestMaria, MariaDB, CREATE, 2469996, true, No Error, 287838095741729, 
timingTestMaria, MariaDB, CREATE, 1364376, true, No Error, 287838097849716, 
timingTestMaria, MariaDB, CREATE, 1903035, true, No Error, 287838101281959, 
timingTestMaria, MariaDB, CREATE, 3241286, true, No Error, 287838106039080, 
timingTestMaria, MariaDB, CREATE, 1931336, true, No Error, 287838109105893, 
timingTestMaria, MariaDB, CREATE, 1690930, true, No Error, 287838111761248, 
timingTestMaria, MariaDB, CREATE, 3963749, true, No Error, 287838116967770, 
timingTestMaria, MariaDB, CREATE, 2197867, true, No Error, 287838119946258, 
timingTestMaria, MariaDB, CREATE, 1757174, true, No Error, 287838122734411, 
timingTestMaria, MariaDB, CREATE, 1588299, true, No Error, 287838125141273, 
timingTestMaria, MariaDB, CREATE, 1751576, true, No Error, 287838128028637, 
timingTestMaria, MariaDB, CREATE, 1886863, true, No Error, 287838130906670, 
timingTestMaria, MariaDB, CREATE, 2601240, true, No Error, 287838135268505, 
timingTestMaria, MariaDB, CREATE, 2154637, true, No Error, 287838138936489, 
timingTestMaria, MariaDB, CREATE, 1622821, true, No Error, 287838141292347, 
timingTestMaria, MariaDB, CREATE, 3220760, true, No Error, 287838145487794, 
timingTestMaria, MariaDB, CREATE, 1724519, true, No Error, 287838148666258, 
timingTestMaria, MariaDB, CREATE, 2176097, true, No Error, 287838151537760, 
timingTestMaria, MariaDB, CREATE, 1944088, true, No Error, 287838154588401, 
timingTestMaria, MariaDB, CREATE, 1797605, true, No Error, 287838158022821, 
timingTestMaria, MariaDB, CREATE, 1745045, true, No Error, 287838161031476, 
timingTestMaria, MariaDB, CREATE, 2102077, true, No Error, 287838164104820, 
timingTestMaria, MariaDB, CREATE, 1302175, true, No Error, 287838165766516, 
timingTestMaria, MariaDB, CREATE, 1870691, true, No Error, 287838169072181, 
